algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,2021,9594,8
QuickSort,random,1000,0,1675,10859,6
QuickSelect,random,1000,0,0409,3703,1
MergeSort,sorted,1000,0,0057,999,8
QuickSort,sorted,1000,0,0570,11748,5
QuickSelect,sorted,1000,0,0184,3723,1
MergeSort,duplicates,1000,0,0647,9139,8
QuickSort,duplicates,1000,0,0386,3547,3
QuickSelect,duplicates,1000,0,0340,2674,1
MergeSort,random,10000,0,8768,128279,11
QuickSort,random,10000,1,4121,154340,8
QuickSelect,random,10000,0,1111,24687,1
MergeSort,sorted,10000,0,0531,9999,11
QuickSort,sorted,10000,0,3271,164872,7
QuickSelect,sorted,10000,0,0447,29916,1
MergeSort,duplicates,10000,3,6991,122666,11
QuickSort,duplicates,10000,0,1083,30094,3
QuickSelect,duplicates,10000,0,0914,32256,1
MergeSort,random,100000,6,4176,1647365,14
QuickSort,random,100000,6,3934,2042926,10
QuickSelect,random,100000,0,9332,311950,1
MergeSort,sorted,100000,0,2277,99999,14
QuickSort,sorted,100000,2,3473,2135900,10
QuickSelect,sorted,100000,0,2463,355439,1
MergeSort,duplicates,100000,3,7482,1571203,14
QuickSort,duplicates,100000,1,1407,370029,3
QuickSelect,duplicates,100000,0,7794,190178,1
MergeSort,random,1000000,83,2627,19969974,18
QuickSort,random,1000000,77,2674,25842766,12
QuickSelect,random,1000000,9,9533,3752410,1
MergeSort,sorted,1000000,2,2765,999999,18
QuickSort,sorted,1000000,28,0981,25602864,12
QuickSelect,sorted,1000000,2,2558,3372559,1
MergeSort,duplicates,1000000,35,2570,19006726,18
QuickSort,duplicates,1000000,11,2798,3698720,3
QuickSelect,duplicates,1000000,7,9062,2300556,1
